phase,model,metrics_used,precision,recall,f1
CV,LightGBM,"name_metric,paragraph_metric,author_metric",0.780812324929972,0.9330543933054394,0.8501715592832635
CV,Neural Net,"name_metric,paragraph_metric,author_metric",0.7979197622585439,0.8987447698744769,0.8453364817001181
Test,Logistic Regression,"name_metric,paragraph_metric,author_metric",0.6173913043478261,0.9498327759197325,0.7483530961791831
Test,Random Forest,"name_metric,paragraph_metric,author_metric",0.7833827893175074,0.882943143812709,0.8301886792452831
Test,XGBoost,"name_metric,paragraph_metric,author_metric",0.7635869565217391,0.939799331103679,0.8425787106446777
Test,LightGBM,"name_metric,paragraph_metric,author_metric",0.7604166666666666,0.9765886287625418,0.8550512445095169
Test,Neural Net,"name_metric,paragraph_metric,author_metric",0.7673130193905817,0.9264214046822743,0.8393939393939394
CV,Logistic Regression,"name_metric,language_metric,synonym_metric",0.5634755463059313,0.906276150627615,0.6948989412897016
CV,Random Forest,"name_metric,language_metric,synonym_metric",0.8240058910162003,0.9364016736401674,0.8766157461809636
CV,XGBoost,"name_metric,language_metric,synonym_metric",0.7975120939875605,0.9656903765690377,0.8735806207418623
CV,LightGBM,"name_metric,language_metric,synonym_metric",0.8042253521126761,0.9556485355648535,0.8734225621414914
CV,Neural Net,"name_metric,language_metric,synonym_metric",0.7656367746797287,0.8502092050209205,0.8057097541633624
Test,Logistic Regression,"name_metric,language_metric,synonym_metric",0.5679012345679012,0.9230769230769231,0.7031847133757961
Test,Random Forest,"name_metric,language_metric,synonym_metric",0.7948717948717948,0.9331103678929766,0.8584615384615385
Test,XGBoost,"name_metric,language_metric,synonym_metric",0.7830985915492957,0.9297658862876255,0.8501529051987767
Test,LightGBM,"name_metric,language_metric,synonym_metric",0.7700534759358288,0.9632107023411371,0.8558692421991084
Test,Neural Net,"name_metric,language_metric,synonym_metric",0.7391304347826086,0.8528428093645485,0.7919254658385093
CV,Logistic Regression,"name_metric,language_metric,keywords_metric",0.5967302452316077,0.9163179916317992,0.7227722772277227
CV,Random Forest,"name_metric,language_metric,keywords_metric",0.7986171132238548,0.7732217573221757,0.7857142857142857
CV,XGBoost,"name_metric,language_metric,keywords_metric",0.7786366830639494,0.9271966527196652,0.8464476699770818
CV,LightGBM,"name_metric,language_metric,keywords_metric",0.7806587245970568,0.9322175732217574,0.8497330282227308
CV,Neural Net,"name_metric,language_metric,keywords_metric",0.817024661893397,0.8594142259414226,0.8376835236541599
Test,Logistic Regression,"name_metric,language_metric,keywords_metric",0.6043478260869565,0.9297658862876255,0.7325428194993412
Test,Random Forest,"name_metric,language_metric,keywords_metric",0.7993311036789298,0.7993311036789298,0.7993311036789298
Test,XGBoost,"name_metric,language_metric,keywords_metric",0.779291553133515,0.9565217391304348,0.8588588588588588
Test,LightGBM,"name_metric,language_metric,keywords_metric",0.7759562841530054,0.9498327759197325,0.8541353383458646
